Product Name,Category,Specification,Price,Detailed Features
"Lenovo Remanufactured 14e 14"" FHD Chromebook",computers/laptops,AMD A4-9120C - 4GB - 32GB eMMC - AC WiFi + BT5.0 - Webcam - USB-C (with PD & DP) - MicroSD Reader - ChromeOS - 1 Year warranty,327.75,"Performance you can count on
With AMD® A4 dual-core processing and the Chrome OS, everything runs smoothly. Choose from thousands of education and business apps on Google Play and in the Chrome Web Store, including TinkerCAD, Expensify, LucidChart, and Dropbox.
Multitask with ease
Open as many windows as you like, run multiple apps, play high-definition videos, or stream your favorite TV shows. Whatever task you want to accomplish, the 14e Chromebook will perform smoothly-without compromising a thing."
"HP ChromeBook 11 G7 11.6"" HD",computers/laptops,Intel Celeron N4000 4GB 32GB eMMC ChromeOS 1yr PB warranty,333.5,
"HP Chromebook G1m 11"" HD",computers/laptops,MTK 520 - 4GB RAM - 32GB eMMC - ChromeOS - AX WiFi6 + BT5.3 - Webcam - USB-C (with PD & DP1.2) - 1yr warranty,333.5,
"HP Chromebook 11 G10 11.6"" HD",computers/laptops,Intel N100 - 4GB RAM - 32GB eMMC - ChromeOS - 1Y Warranty - AX WiFi 6 + BT5.3 - Webcam - HDMI - USB-C (with PD & DP),342.7,
"HP Remanufactured Chromebook 11 MK G9 11.6"" HD",computers/laptops,MediaTek MT8183 4GB RAM - 32GB eMMC - ChromeOS - 1Y Warranty - AC WiFi 5 - Webcam - USB-C (with PD & DP1.2),345,
"Lenovo 100e G2 11.6"" HD Chromebook",computers/laptops,Intel Celeron N4020 - 4GB RAM - 32GB eMMC - ChromeOS - AC WiFi 5 + BT4.2 - Webcam - USB-C (PD & DP) - 1Y PB Warranty,348.5,"Works almost as hard as a teacher does
With up to 2.6 GHz Intel® Celeron® dual-core processor, the Lenovo 100e Chromebook Gen 2 seamlessly runs the Chrome OS™ operating system and apps from the Chrome Web Store and the Google Play™ Store. Choose from thousands of education apps on the Chrome Web Store, including TinkerCAD, Geogebra, LucidChart, and others. The Google Play Store offers students' favourite educational apps such as Khan Academy, Kahoot!®, School Loop, and more. Students can multitask easily, with various windows open for apps and the browser at the same time.
  Tested classroom-tough"
"Lenovo Chromebook 100e G3 11.6"" HD",computers/laptops,Intel Celeron N4500 - 4GB RAM - 32GB eMMC - ChromeOS - AC WiFi6 + BT5.1 - Webcam - USB-C (with PD & DP1.2) - HDMI1.4b - 1Y Warranty,363.32,"Performance students can count on
Built on the Chrome platform and packed with Intel power, the Lenovo 100e Chromebook creates an interactive learning experience in the classroom and beyond. It's available with an extensive library of apps in the Chrome Web Store and Google Play. Also available for purchase is a new collection of six creativity apps. What's more, the optional Google Workspace for Education and the Chrome Education Upgrade streamline administrative tasks and provide a centralized, easy-to-use management system for IT admins.
Seamless security
Chromebooks are secure by design, enabling IT to provide trusted applications to students and teachers while also protecting against threats. Plus, the Lenovo 100e Chromebook Gen 3 comes equipped with a front-camera privacy shutter that ensures the webcam is off-everyone is protected from hackers and the embarrassing possibility of leaving your camera on unintentionally."
"ASUS Vivobook Go 14 E410KA 14"" FHD",computers/laptops,Intel Celeron N4500 - 4GB RAM - 64GB eMMC - Win 11 Home S Mode - AX WiFi6 + BT - Webcam - HDMI1.4,368,"ASUS Vivobook Go 14 - Move with style
Life is all about finding the right balance, and Vivobook Go 14 delivers just that. Lightweight and compact, it sports a stylish new look that fits right in with your dynamic lifestyle. Designed for daily computing and productivity tasks, and boasting innovative features such as ASUS NumberPad, Vivobook Go 14 gives you everything you need for work or play.
  Mobility - Get it done, anywhere
With the compact and lightweight Vivobook Go 14, productivity is always within reach. It easily slips into your backpack or small bag so you can get schoolwork done or create content wherever you are."
"ASUS Chromebook C204MA 11.6"" HD",computers/laptops,Intel Celeron N4020 - 4GB -32GB eMMC - ChromeOS - 1Y Warranty - AC WiFi 5 + BT - Webcam,368,"ASUS Chromebook C204 is designed with one thing in mind: to keep on going however tough the environment gets. Built to meet demanding military-grade standards, the classroom-ready durability reassures teachers and students alike. It's packed with clever features to protect it in the real world, such as the all-round rubber bumper, spill-resistant keyboard and ultratough I/O ports. And with its school day-long battery life and time-saving, easy-to-service modular construction, ASUS Chromebook C204 is ready for anything!
Ready for action
Classrooms can be tough, but ASUS Chromebook C204 is tougher! Built to surpass demanding military-grade MIL-STD-810G durability standards, it's also torture-tested to pass stringent ASUS quality tests. It can withstand occasional drops of up to 120cm -more than standard desk height - and the hinge and I/O ports are fully tested to endure the stresses and strains of everyday use."
"Lenovo Chromebook 100e G3 11.6"" HD Te Reo Maori Keyboard K12 Education Only",computers/laptops,Intel Celeron N4500 - 4GB RAM - 32GB eMMC - ChromeOS - 1Y Warranty,379.5,"Background
The Maori Language Commission, in partnership with PB Tech, has created a keyboard layout for New Zealand. It is a keyboard for every New Zealander; whether you only use English, want to dabble in te reo Maori, or use te reo Maori all day.
What is it exactly?
The te reo Maori keyboard is a combination of characters printed on your laptop or desktop keyboard as well as supporting software (keyboard definitions). The definitions for Windows devices are available for download when you scan the QR code on the box of your new device.
The addon that implements the keyboard layout for Chrome will be available from December 2023."
