Product Name,Specification,Price
"ASUS Vivobook Go E1504FA 15.6"" FHD",AMD Ryzen 5 7520U - 16GB RAM - 512GB SSD - Win 11 Home - 1yr warranty - AC WiFi 5 + BT4.1 - Webcam - USB-C & HDMI,"1,078.75"
"ASUS TUF Gaming A15 TUF506NCR RTX 3050 Gaming Laptop 15.6"" FHD 144Hz",AMD Ryzen 7 7435HS - 16GB RAM - 512GB SSD - Win 11 Home - AX WiFi 6 + BT5.3 - Webcam - USB-C (with DP) - HDMI2.1 TMDS - RJ45 - 1yr warranty,"1,658.00"
"HP 14s-dq3128TU 14"" HD",Intel Celeron N4500 - 8GB RAM - 256GB SSD - Win 11 Home in S mode - 1Y Warranty - AC WiFi 5 + BT5.0 - USB-C (Data Only) - HDMI1.4b,636.57
"Apple MacBook Air 13"" Laptop with M2 Chip - Midnight","16GB RAM - 256GB SSD - 8-Core CPU - 8-Core GPU - 13.6"" Liquid Retina Display - Backlit Keyboard - 1080p FaceTime HD Camera","1,659.00"
"Apple MacBook Air 13"" Laptop with M3 Chip - Space Grey","16GB RAM - 256GB SSD - 8-Core CPU - 8-Core GPU - 13.6"" Liquid Retina Display - Backlit Keyboard - 1080p FaceTime HD Camera 30W USB-C Power Adapter","1,775.00"
"Lenovo Chromebook 100e G3 11.6"" HD",Intel Celeron N4500 - 4GB RAM - 32GB eMMC - ChromeOS - AC WiFi6 + BT5.1 - Webcam - USB-C (with PD & DP1.2) - HDMI1.4b - 1Y Warranty,379.5
"ASUS TUF Gaming A15 TUF506NFR RTX 2050 Gaming Laptop 15.6"" FHD 144Hz",AMD Ryzen 7 7435HS - 16GB RAM - 512GB SSD - Win 11 Home - AX WiFi 6 + BT5.3 - Webcam - USB-C (with DP) - RJ45 - 1yr warranty,"1,437.50"
"ASUS Vivobook Go 14 E410KA 14"" FHD",Intel Celeron N4500 - 4GB RAM - 64GB eMMC - Win 11 Home S Mode - AX WiFi6 + BT - Webcam - HDMI1.4,368
"HP EliteBook 660 G11 Business Laptop 16"" WUXGA",Intel Core Ultra 5 125U - 16GB RAM - 512GB SSD - Win 11 Pro - 3Y NBD Onsite Warranty - AX WiFi 6E + BT5.3 - FPR - IR Cam,"1,805.50"
"ASUS Zenbook 14 OLED UX3405MA 14"" 3K Touch",Intel Core Ultra 9 185H - 32GB RAM - 1TB SSD - Win 11 Pro - AX WiFi 6E + BT5.3 - IR Cam - Thunderbolt4 (PD & DP) - HDMI2.1 TMDS - 1yr warranty,"2,875.00"
"HP Probook 460 G11 Business Laptop 16"" WUXGA",Intel Core Ultra 5 125U - 16GB RAM - 256GB SSD - Win 11 Pro - 1Y Onsite Warranty,"1,758.63"
"ASUS Vivobook 15 OLED D1505YA 15.6"" 2.8K 120Hz",AMD Ryzen 7 7730U - 16GB RAM - 512GB SSD - Win 11 Home - AC WiFi 5 + BT5.1 - Webcam - USB-C (with PD) - HDMI1.4,"1,455.99"
"Lenovo Chromebook 500e G3 Flip 2in1 Laptop 11.6"" HD Touch",Intel Celeron N5100 - 4GB RAM - 64GB eMMC - ChromeOS - 1yr Warranty - AX Wi-Fi 6 + BT5.1 - Webcam - USB-C (with PD & DP1.2) - HDMI1.4b - MicroSD Reader - with USI Pen (Garaged),540.5
"HP 255 G10 15.6"" FHD",AMD Ryzen 7 7730U - 32GB RAM - 1TB SSD - Win 11 Pro - AX WiFi 6 + BT5.3 - Webcam - 1yr PB warranty,"1,519.53"
"Apple Macbook Pro 14"" Laptop with M4 Chip - Space Black",16GB Unified Memory - 512GB SSD - 10-Core CPU - 10-Core GPU - 14-inch Liquid Retina XDR Display 70W USB-C Power Adapter,"2,959.00"
"Lenovo IdeaPad Gaming 3 15ACH6 15.6"" FHD 60Hz RTX 2050 Gaming Laptop",AMD Ryzen 5 5500H - 16GB RAM - 512GB SSD - Win 11 Home - 1yr PB warranty - AX WiFi 6 + BT5.1 - Webcam - USB-C - HDMI2.0 - RJ45,"1,380.00"
"Apple MacBook Air 13"" Laptop with M3 Chip - Midnight","16GB RAM - 256GB SSD - 8-Core CPU - 8-Core GPU - 13.6"" Liquid Retina Display - Backlit Keyboard - 1080p FaceTime HD Camera 30W USB-C Power Adapter","1,775.00"
"ASUS Vivobook 14 X1404ZA 14"" FHD",Intel Core i3-1215U - 8GB RAM - 128GB SSD - Win 11 Home S Mode - AX WiFi 6E + BT - Webcam - HDMI1.4 - 1Y Warranty,701.5
"ASUS Zenbook 14 OLED UX3405MA 14"" 3K Touch",Intel Core Ultra 7 155H - 32GB RAM - 1TB SSD - Win 11 Home - AX WiFi 6E + BT5.3 - IR Cam - Thunderbolt4 (DP & PD) - HDMI2.1 TMDS - 1yr warranty,"2,419.17"
"MSI Thin 15 B12UCX-1425NZ RTX 2050 Gaming Laptop 15.6"" FHD 144Hz",Intel Core i5-12450H - 16GB RAM - 512GB SSD - Win 11 Home - AX WiFi 6E + BT5.3 - Blue Backlit Keyboard - 1Y Warranty,"1,499.00"
"HP 14s-dq3128TU 14"" HD",Intel Celeron N4500 - 4GB RAM - 128GB SSD - Win 11 Home in S mode - 1Y Warranty - AC WiFi 5 + BT5.0 - USB-C (Data Only) - HDMI1.4b,442.26
Microsoft Surface Laptop (7th Edition) Copilot+ PC - Platinum,"Snapdragon X Plus (10 Core) - 16GB RAM - 256GB SSD - 13.8"" HDR Touch Display - Win 11 Home","1,874.99"
"Apple MacBook Air 13"" Laptop with M2 Chip - Starlight","16GB RAM - 256GB SSD - 8-Core CPU - 8-Core GPU - 13.6"" Liquid Retina Display - Backlit Keyboard - 1080p FaceTime HD Camera - Works with iPhone & iPad","1,659.00"
"HP 255 G10 15.6"" FHD",AMD Ryzen 7 7730U - 16GB RAM - 1TB SSD - Win 11 Pro - AX WiFi 6 + BT5.3 - Webcam - 1yr PB warranty,"1,368.50"
"MSI Thin 15 B12UC-1457NZ RTX 3050 Gaming Laptop 15.6"" FHD 144Hz",Intel Core i5-12450H - 16GB RAM - 512GB SSD - Win 11 Home - 1Y Warranty - AX WiFi 6E + BT5.3 - Blue Backlit Keyboard,"1,548.99"
"ASUS Zenbook 14 UM3402YAR-KP399X 14"" WQXGA AMD Ryzen 7 7730U - 16GB RAM - 512GB SSD - Win 11 Pro",- 1yr warranty - AX WiFi 6E + BT5.3 - Webcam - USB-C (with PD & DP) - HDMI2.1 TMDS - MicroSD - Backlit Keyboard,"1,736.99"
"HP Probook 460 G11 Business Laptop 16"" WUXGA",Intel Core Ultra 7 155U - 32GB RAM - 1TB SSD - Win 11 Pro - 1Y Onsite Warranty,"2,288.50"
Microsoft Surface Pro (11th Edition) Copilot+ PC - Platinum,"Snapdragon X Plus (10 Core) - 16GB RAM - 512GB SSD - 13"" PixelSense Flow LCD Display - Win 11 Home","2,428.00"
"HP Chromebook 11 G10 11.6"" HD",Intel N100 - 4GB RAM - 32GB eMMC - ChromeOS - 1Y Warranty - AX WiFi 6E + BT5.3 - Webcam - USB C (PD & DP),402.5
